,DEV_NAME,MANAGED_BY,TDS,CONS_TDS,CONS_NAME
2440,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),FORT WASHINGTON,523,309,FORT WASHINGTON CONSOLIDATED
2448,WASHINGTON HEIGHTS REHAB PHASE IV (C),FORT WASHINGTON,330,309,FORT WASHINGTON CONSOLIDATED
2450,WASHINGTON HEIGHTS REHAB PHASE IV (D),FORT WASHINGTON,331,309,FORT WASHINGTON CONSOLIDATED
2452,WEBSTER,WEBSTER,141,141,WEBSTER CONSOLIDATED
2458,WEEKSVILLE GARDENS,ALBANY,229,31,ALBANY CONSOLIDATED
2460,WEST BRIGHTON I,WEST BRIGHTON I,116,116,WEST BRIGHTON CONSOLIDATED
2469,WEST BRIGHTON II,WEST BRIGHTON I,175,116,WEST BRIGHTON CONSOLIDATED
2477,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),360,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
2481,WEST FARMS SQUARE CONVENTIONAL,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),526,530,BUILDING MANAGEMENT ASSOCIATES CONSOLIDATED
2482,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,SEDGWICK,246,45,SEDGWICK CONSOLIDATED
2483,WHITE,WILSON,124,112,WILSON
2484,WHITMAN,WHITMAN,514,514,WHITMAN
2503,WILLIAMS PLAZA,WILLIAMS PLAZA,128,128,WILLIAMS PLAZA
2508,WILLIAMSBURG,WILLIAMSBURG,2,2,WILLIAMSBURG
2530,WILSON,WILSON,112,112,WILSON
2533,WISE TOWERS,WISE TOWERS,127,127,WISE TOWERS CONSOLIDATED
2536,WOODSIDE,WOODSIDE,33,33,WOODSIDE
2556,WOODSON,WOODSON,182,182,WOODSON
2558,WSUR (BROWNSTONES),WISE TOWERS,178,127,WISE TOWERS CONSOLIDATED
2594,WSUR (SITE A) 120 WEST 94TH STREET,WISE TOWERS,151,127,WISE TOWERS CONSOLIDATED
2595,WSUR (SITE B) 74 WEST 92ND STREET,WISE TOWERS,173,127,WISE TOWERS CONSOLIDATED
2596,WSUR (SITE C) 589 AMSTERDAM AVENUE,WISE TOWERS,174,127,WISE TOWERS CONSOLIDATED
2597,WYCKOFF GARDENS,WYCKOFF GARDENS,163,163,WYCKOFF GARDENS CONSOLIDATED
